mode_number,eigen_frequency,degeneracy,frequency_ratio
0,9.426773064186465,1,2.1217693995993483
1,14.142037008517528,2,3.1830766656164906
2,14.14203700851765,2,3.183076665616518
3,14.413832359033945,1,3.244252112797883
4,14.488920341210182,1,3.261152846673028
5,15.062244368029617,2,3.390196090620636
6,15.062244368029734,2,3.390196090620662
7,17.63211617429666,1,3.9686204700242236
8,18.884872094090603,1,4.250589618712446
9,19.416698377169336,2,4.370292588716689
10,19.416698377169695,2,4.37029258871677
11,19.95965882713346,1,4.492501626749365
12,20.53162233590304,1,4.621238646547296
13,21.277119576603827,1,4.78903447891055
14,21.570078131031483,2,4.854973320537805
15,21.57007813103161,2,4.854973320537834
16,23.241620427501154,1,5.2312025212023965
17,23.494502247130942,1,5.2881209282704456
18,24.769616400021583,2,5.575122447473018
19,24.769616400021658,2,5.575122447473035
20,25.619925760065836,1,5.7665092951302555
21,25.67545023889054,1,5.779006693688255
22,26.07016531172279,2,5.867848798764259
23,26.070165311722835,2,5.867848798764269
24,27.594405093115288,2,6.21092328499511
25,27.594405093115984,2,6.210923284995268
26,27.705052971130566,1,6.23582780747644
27,28.205702421662995,1,6.348513524723798
28,28.33789439527862,2,6.378267172401588
29,28.337894395278777,2,6.378267172401623
30,28.355805236560776,1,6.382298528062194
31,28.48912175025609,1,6.412305286185462
32,30.014262946704207,1,6.755582662086865
33,30.511615042480972,2,6.867526213762553
34,30.51161504248119,2,6.867526213762602
35,31.56752518562935,1,7.105189496330621
36,31.99289736211081,1,7.200931874062
37,32.08160984674743,2,7.2208991984032975
38,32.081609846747476,2,7.220899198403307
39,32.20024545129516,1,7.247601591016168
40,32.574616160088944,1,7.331864605370754
41,33.36208861750647,2,7.509108180855087
42,33.3620886175066,2,7.509108180855116
43,33.68850751530371,1,7.582578245752305
44,33.86571955743457,1,7.622464968989789
45,34.339722345309625,2,7.729153079946755
46,34.339722345309845,2,7.729153079946805
47,34.46230248816845,1,7.7567433056099215
48,34.89354825774284,1,7.853807706265311
49,35.70602402234341,2,8.03667900310334
50,35.706024022343975,2,8.036679003103465
51,35.92779222782587,1,8.086594386553523
52,36.233260894300294,1,8.155348992678944
53,36.79246504003649,2,8.281214146796191
54,36.79246504003681,2,8.281214146796263
55,36.79287163950821,1,8.281305663830825
56,36.96304894936538,1,8.319609016006858
57,37.9164467802065,2,8.53419892173062
58,37.916446780206826,2,8.534198921730693
59,38.08477640651343,1,8.57208639899481
60,38.53946349355838,1,8.674426949797938
61,38.63857123307316,1,8.696734028533589
62,39.19642943729607,2,8.822296239374587
63,39.196429437296246,2,8.822296239374626
64,39.28042429270847,1,8.841201724074846
65,39.67852928662802,2,8.930806829467196
66,39.67852928662826,2,8.930806829467251
67,39.841993406290406,1,8.967599182976773
68,40.12806738936801,1,9.031988451624978
69,40.801502468665085,1,9.183564599065905
70,40.83391936808898,2,9.190860964933544
71,40.833919368089134,2,9.190860964933579
72,41.426763117172456,1,9.324297689991445
73,41.552288886703245,2,9.352550914593131
74,41.55228888670331,2,9.352550914593145
75,41.71924478955718,1,9.390129195447665
76,42.190770261278985,1,9.49625971436637
77,42.245185721239174,2,9.508507495979709
78,42.245185721239224,2,9.50850749597972
79,42.736659775524195,1,9.61912802348988
80,43.143171030925096,2,9.710625202474615
81,43.143171030925124,2,9.71062520247462
82,43.404182489422745,1,9.769373421171965
83,43.719139297176554,1,9.840263609398342
84,44.32751069502701,1,9.97719528334036
85,44.38171243752341,2,9.989394961623773
86,44.38171243752349,2,9.989394961623791
87,44.46962335881846,1,10.009181870826358
88,45.410966917142325,1,10.221058611993449
89,45.51646363624752,2,10.244803716371312
90,45.51646363624772,2,10.244803716371356
91,45.5462737706173,1,10.251513353961299
92,46.422692189043595,2,10.448776804433749
93,46.422692189043886,2,10.448776804433814
94,46.76636061838226,1,10.52612937800417
95,46.98709526393111,1,10.575812128736366
96,46.990826457942916,1,10.57665194244826
97,47.22900988091865,2,10.630262047934062
98,47.22900988091874,2,10.63026204793408
99,47.26448690486177,1,10.638247183810233
100,47.58291315300777,1,10.709918270484867
101,47.8311573817488,1,10.765792852866714
102,47.89947887518482,1,10.78117059168788
103,47.97716331581517,2,10.79865573404064
104,47.97716331581525,2,10.798655734040658
105,48.606796211140065,1,10.940372926253202
106,48.62889278091321,2,10.945346401827669
107,48.628892780913226,2,10.945346401827672
108,48.670957500640476,1,10.954814290203926
109,49.46027048578158,1,11.132472129973229
110,49.87281449681635,1,11.225327156040104
111,50.031046113247925,2,11.260941782541419
112,50.03104611324808,2,11.260941782541453
113,50.44746414701582,1,11.354668770077243
114,50.77223089406445,2,11.42776697040553
115,50.77223089406462,2,11.427766970405568
116,51.139815548112786,1,11.5105025858077
117,51.28845464440469,2,11.543958136710312
118,51.28845464440477,2,11.543958136710332
119,51.33216552181229,1,11.553796540741214
120,51.42861800267153,1,11.575505976304065
121,51.66927678729047,2,11.629673233908807
122,51.66927678729062,2,11.629673233908841
123,51.865440604900186,1,11.673825605317232
124,52.01243013887134,1,11.70690987425187
125,52.46602734919501,2,11.809005116606308
126,52.46602734919506,2,11.809005116606318
127,52.781671006243904,1,11.880049900239461
128,53.04509542603202,1,11.939341226041826
129,53.102887423888,2,11.95234899569509
130,53.102887423888006,2,11.952348995695091
131,53.77595498563651,1,12.103842422624657
132,53.86720600484481,2,12.124381117989456
133,53.867206004844824,2,12.12438111798946
134,53.98674645070443,1,12.151287171451484
135,54.30829666282762,1,12.223661397061056
136,54.437596787643606,1,12.2527641500743
137,54.471129904470004,2,12.260311753126903
138,54.4711299044701,2,12.260311753126924
139,54.56872905445299,1,12.28227927992009
140,54.882541152573786,1,12.352911817956501
141,55.011113089577805,1,12.381850671127662
142,55.01587506977709,2,12.38292249324532
143,55.01587506977768,2,12.382922493245452
144,55.43722808403412,1,12.477760241644715
145,55.459768486912566,2,12.48283361476577
146,55.45976848691274,2,12.482833614765811
147,55.57852609349728,1,12.509563467484767
148,55.582739772282515,1,12.510511878425115
149,55.588481824016725,2,12.511804294141246
150,55.89497788158959,1,12.580790144508917
151,56.03297587055414,1,12.611850604774329
152,56.08242946082439,1,12.622981573327545
153,56.11381723148996,2,12.630046303842047
